Game Title,Played?,Date Played,Min Players,Max Players,Age Range,Setup Time,Time to Play,Type of Game,Complexity,Theme,Mechanics,Publisher / Year,Rating,Favorite?,Notes
20 Strong: Solar Sentinels,y,5/23/2025,1,1,12+,5 minutes,30–45 minutes,Card,Medium,Sci-Fi,"Solo, Dice Rolling",Chip Theory / 2023,★★★★☆,FALSE,
20 Strong: Victorium,y,5/23/2025,1,1,12+,5 minutes,30–45 minutes,Card,Medium,Fantasy,"Solo, Dice Rolling",Chip Theory / 2023,★★★★☆,FALSE,
A Gentle Rain,y,,1,2,8+,1 minute,12–15 minutes,Board,Low,Mindfulness / Nature,Tile Placement,Incredible Dream Studios / 2021,☆☆☆☆☆,FALSE,
Apples to Apples Jr,y,,4,10,9+,2 minutes,30 minutes,Card,Low,Word Association,"Party Game, Vocabulary Building",Mattel / 2007,☆☆☆☆☆,FALSE,
Arkham Horror (3rd Edition),y,5/30/2025,1,6,14+,30–60 minutes,120–240 minutes,Board,High,Lovecraftian Horror,"Cooperative, Narrative",Fantasy Flight / 2018,★★★★☆,FALSE,
Azul,y,,2,4,8+,5 minutes,30–45 minutes,Board,Medium,Abstract / Mosaic,"Tile Drafting, Pattern Building",Next Move Games / 2017,☆☆☆☆☆,FALSE,
Bag of Dungeon,y,6/4/2025,1,4,7+,5 minutes,30–60 minutes,Board,Medium,Fantasy / Dungeon,"Tile-laying, Dice Rolling",Gunpowder Studios / 2018,★★★☆☆,FALSE,
Bang!,n,,4,7,8+,5 minutes,20–40 minutes,Card,Medium,Wild West,"Hidden Roles, Hand Management",dV Giochi / 2002,☆☆☆☆☆,FALSE,
Battleship,y,,2,2,7+,2 minutes,20–30 minutes,Board,Low,Naval Combat,"Deduction, Grid Targeting",Hasbro / 1967,☆☆☆☆☆,FALSE,
Betrayal at House on the Hill (3rd Edition),y,,3,6,12+,5 minutes,60–90 minutes,Board,Medium,Horror / Mystery,"Modular Board, Hidden Traitor, Scenario-based",Avalon Hill / 2022,☆☆☆☆☆,FALSE,
Block by Block,y,,1,4,13+,10 minutes,90–120 minutes,Board,Medium–High,Social Revolution,"Area Control, Dice Rolling, Co-op",Out of Order Games / 2016,☆☆☆☆☆,FALSE,
Blokus,y,,2,4,7+,1 minute,20–30 minutes,Board,Low,Abstract Strategy,Tile Placement,Mattel / 2000,☆☆☆☆☆,FALSE,
Blokus Duo,y,,2,2,7+,1 minute,20 minutes,Board,Low,Abstract Strategy,Tile Placement,Mattel / 2005,☆☆☆☆☆,FALSE,
Blurt! National Parks Ed,n,,3,12,8+,2 minutes,20–30 minutes,Party,Low,Vocabulary / Nature,"Wordplay, Racing",Educational Insights / 2021,☆☆☆☆☆,FALSE,
Bog,y,,2,6,8+,2 minutes,20 minutes,Card,Low,Word / Party,"Wordplay, Pattern Recognition",Parker Brothers / 1987,☆☆☆☆☆,FALSE,
Bonsai,n,,1,4,10+,5 minutes,30–45 minutes,Board,Medium,Zen Gardening,"Tile Placement, Open Drafting",dV Games / 2022,☆☆☆☆☆,FALSE,
Carcassonne,y,,2,5,7+,5 minutes,35 minutes,Board,Medium,Medieval / Tile,"Tile Placement, Area Control",Hans im Glück / 2000,☆☆☆☆☆,FALSE,
Cards Against Humanity,y,,4,20,17+,2 minutes,30–90 minutes,Card,Low,Adult Humor,"Fill-in-the-Blank, Party",Cards Against Humanity LLC / 2011,☆☆☆☆☆,FALSE,
Catan,y,,3,6,10+,10 minutes,60–90 minutes,Board,Medium,Resource Management,"Trading, Dice Rolling, Network Build",Kosmos / 1995,☆☆☆☆☆,FALSE,
Catan Dice,y,,1,6,7+,2 minutes,15–30 minutes,Dice,Low,Resource Management,"Dice Rolling, Route Building",Catan Studio / 2007,☆☆☆☆☆,FALSE,
Charades,y,,4,12,8+,1 minute,Variable,Party,Low,Word Guessing,"Acting, Wordplay",Public Domain,☆☆☆☆☆,FALSE,
Chess,y,,2,2,6+,1 minute,30–90 minutes,Board,High,Abstract Strategy,"Grid Movement, Tactical Combat",Public Domain,☆☆☆☆☆,FALSE,
Codenames,y,,2,8,14+,2 minutes,15 minutes,Card,Low,Spy / Word Association,Team-based Clue Giving,Czech Games Edition / 2015,☆☆☆☆☆,FALSE,
Da Vinci's Challenge,,,2,2,8+,<5 min,15-30 min,Abstract Strategy,Low,Geometric Patterns,Pattern Placement,Briarpatch Games/2005,,,
Danger Danger,y,,3,6,10+,1 minute,20–30 minutes,Card,Low,Silly Adventure,"Bluffing, Take That",Gorilla Games / 2004,☆☆☆☆☆,FALSE,
Dominion (Second Edition),n,,2,4,13+,5–10 minutes,30 minutes,Card Game,Medium,Medieval,"Deck Building, Hand Management",Rio Grande Games / 2016,☆☆☆☆☆,,
Dominion: Adventures,y,6/17/2025,2,6,13+,5-10 min,30 min,Card Game,Medium,Medieval,Deck Building,Rio Grande / 2017,☆☆☆☆☆,FALSE,
Dominion: Intrigue (Second Edition),n,,2,4,13+,5–10 minutes,30 minutes,Card Game,Medium,Political / Courtly,"Deck Building, Hand Management",Rio Grande Games / 2016,☆☆☆☆☆,,
Dos,y,,2,4,7+,1 minute,20 minutes,Card,Low,Numbers / Matching,"Set Collection, Hand Management",Mattel / 2018,☆☆☆☆☆,FALSE,
Dutch Blitz,y,,2,4,8+,1 minute,15 minutes,Card,Medium,Real-Time / Pattern Match,"Speed Matching, Hand Management",Dutch Blitz Games / 1960s,☆☆☆☆☆,FALSE,
Enchanted Plumes,y,,2,5,8+,2 minutes,30 minutes,Card,Medium,Birds / Abstract,"Set Collection, Hand Management",Calliope Games / 2021,☆☆☆☆☆,FALSE,
Family Charades,y,,4,12,8+,1 minute,Variable,Party,Low,Acting / Guessing,"Word Guessing, Team Play",Outset Media / Various,☆☆☆☆☆,FALSE,
Family Feud: Big Buzzer Edition,y,,3,10,8+,2 minutes,15–30 minutes,Party,Low,TV Game Show,"Team Play, Buzz-In Trivia",Spin Master / 2022,☆☆☆☆☆,FALSE,
Five Crowns,y,,1,7,8+,2 minutes,30 minutes,Card,Low,Rummy Variant,"Hand Management, Set Collection",Set Enterprises / 1996,☆☆☆☆☆,FALSE,
Fluxx,y,,2,6,8+,1 minute,5–30 minutes,Card,Low,Ever-Changing Rules,"Rule-Changing, Set Collection",Looney Labs / 1997,☆☆☆☆☆,FALSE,
Fluxx DS9,y,,2,6,8+,1 minute,5–30 minutes,Card,Low,Star Trek / Sci-Fi,"Rule-Changing, Set Collection",Looney Labs / 2019,☆☆☆☆☆,FALSE,
Fortnite Monopoly,n,,2,7,13+,5 minutes,60 minutes,Board,Medium,Video Game / Battle,"Property Control, Currency Combat",Hasbro / 2018,☆☆☆☆☆,FALSE,
Fourth Down,y,,2,2,8+,2 minutes,30 minutes,Card,Medium,Football,"Hand Management, Bluffing",Victory Point Games / 2011,☆☆☆☆☆,FALSE,
Gloom,y,,2,5,13+,2 minutes,60 minutes,Card,Medium,Gothic Humor,"Storytelling, Hand Management",Atlas Games / 2005,☆☆☆☆☆,FALSE,
Gloomhaven,n,,1,4,14+,20+ minutes,60–120+ mins,Board,High,Fantasy / Tactical,"Legacy, Hand Management, Dungeon Crawl",Cephalofair Games / 2017,☆☆☆☆☆,FALSE,
Godzilla: Tokyo Clash,y,,2,4,10+,10 minutes,45 minutes,Board,Medium,Kaiju / Monster Battle,"Hand Management, Variable Player Powers",Funko Games / 2020,☆☆☆☆☆,FALSE,
Hanafuda,y,,2,2,10+,2 minutes,20–30 minutes,Card,Medium,Japanese Traditional,"Set Collection, Trick Taking",Multiple Publishers,☆☆☆☆☆,FALSE,
Happy Salmon,n,,3,6,6+,1 minute,5–10 minutes,Card,Low,Real-Time Party,"Simultaneous Play, Pattern Matching",North Star Games / 2016,☆☆☆☆☆,FALSE,
Harry Potter: Catch the Golden Snitch,n,,2,4,8+,2 minutes,15–30 minutes,Card,Low,Harry Potter / Sports,"Dexterity, Flicking, Set Collection",Spin Master / 2021,☆☆☆☆☆,FALSE,
Hero Realms,y,,2,4,12+,5 minutes,20–30 minutes,Card,Medium,Fantasy,"Deck-building, Combat",Wise Wizard / 2016,☆☆☆☆☆,FALSE,
Homeworlds,n,,2,2,10+,5 minutes,30–60 minutes,Abstract,High,Space / Strategy,"Abstract Strategy, Capture",Looney Labs / 2001,☆☆☆☆☆,FALSE,
Hues and Cues,y,,3,10,8+,2 minutes,30 minutes,Board,Low,Color Guessing,"Word Association, Grid Movement",USAopoly / 2020,☆☆☆☆☆,FALSE,
Hunt A Killer: Dead Below Deck,n,,1,5,14+,5–10 minutes,45–90 minutes,Mystery,Medium,Murder Mystery,"Puzzle-solving, Deduction",Hunt A Killer / 2023,☆☆☆☆☆,FALSE,
Iasip Monopoly,n,,2,6,17+,5–10 minutes,60+ minutes,Board,Low,Comedy / Parody,"Roll-and-Move, Property Trading",USAopoly / 2023,☆☆☆☆☆,FALSE,
Ice Cool,y,,2,4,6+,3 minutes,30 minutes,Board,Low,Dexterity / School,"Flicking, Set Collection",Brain Games / 2016,☆☆☆☆☆,FALSE,
Incoherent Family,y,,2,10,12+,2 minutes,30 minutes,Party,Low,Misheard Phrases,"Phrase Guessing, Team Play",What Do You Meme? / 2020,☆☆☆☆☆,FALSE,
It's Alive!,n,,2,5,12+,5 minutes,20–45 minutes,Card,Medium,Monster Building,"Set Collection, Auction",Reiver Games / 2007,☆☆☆☆☆,FALSE,
Jaipur,y,,2,2,10+,2 minutes,30 minutes,Card,Medium,Trading,"Hand Management, Set Collection",Space Cowboys / 2009,☆☆☆☆☆,FALSE,
Jaws of the Lion,y,,1,4,14+,15 minutes,60–120 minutes,Board,High,Fantasy / Tactical,"Scenario-based, Co-op, Campaign",Cephalofair Games / 2020,☆☆☆☆☆,FALSE,
Joke King,n,,4,12,10+,2 minutes,20–30 minutes,Card,Low,Humor / Comic,"Storytelling, Party Game",Nutt Heads / 2021,☆☆☆☆☆,FALSE,
Keepers,y,,3,8,8+,5 minutes,15–30 minutes,Card,Low,Photography / Abstract,"Voting, Player Judge",Van Ryder Games / 2022,☆☆☆☆☆,FALSE,
Lacuna,y,,2,2,8+,1 minute,10–15 minutes,Board,Low,Abstract / Nature,Area Control,CMYK / 2023,☆☆☆☆☆,FALSE,
Left Right Center,y,6/15/2025,3,12,5+,<1 min,10-20 min,Dice Game,Low,Party/Chance,Push Your Luck,Wiggles / 1966,★★★★☆,FALSE,
Legacy of Dragonholt,y,7/1/2025,1,6,14+,5-10 min,60-999 min,Narrative Adventure,Medium,Fantasy,"Storytelling, Scenario Play/Solo Capable",Frosthaven Éditions/2017,,,
Lost Cities,y,,2,2,10+,1 minute,30 minutes,Card,Medium,Expedition,"Hand Management, Set Collection",Kosmos / 1999,☆☆☆☆☆,FALSE,
Mancala,n,,2,2,6+,<5 minutes,15–30 minutes,Abstract / Traditional,Low,Ancient / Strategy,"Sowing, Capture, Counting",Various / Ancient Origins,☆☆☆☆☆,FALSE,
Marvel Infinity Gauntlet,y,,2,6,10+,3 minutes,15–30 minutes,Card,Medium,Marvel / Battle,"Asymmetry, Bluffing, Hand Management",Z-Man Games / 2021,☆☆☆☆☆,FALSE,
Mille Bornes,y,,2,6,7+,2 minutes,30 minutes,Card,Low,Racing / Classic,"Take That, Hand Management",Asmodee / 1954,☆☆☆☆☆,FALSE,
Nacho Pile,y,,2,6,7+,1 minute,10–20 minutes,Card,Low,Food / Humor,Push Your Luck,Gamewright / 2022,☆☆☆☆☆,FALSE,
One Deck Galaxy,y,7/7/2025,1,4,10+,2 min,60-120 min,Co-operative Deck-Building,Medium,Sci‑Fi,Card & Dice Resource Management,Asmadi Games/2021,,,
Onitama,n,,2,2,8+,<5 minutes,15–20 minutes,Abstract Strategy,Low,Martial Arts / Japanese,"Grid Movement, Hand Management, Pattern Movement, Static Capture",Arcane Wonders / 2014,☆☆☆☆☆,FALSE,
Othello,y,,2,2,7+,1 minute,30 minutes,Board,Medium,Abstract Strategy,"Tile Flipping, Area Control",Pressman / 1971,☆☆☆☆☆,FALSE,
Palm Island,y,,1,2,10+,1 minute,15 minutes,Card,Low,Island Development,"Deck Transformation, Resource Mgmt",Portal Dragon / 2018,☆☆☆☆☆,FALSE,
Pandemic,y,,2,4,8+,10 minutes,45 minutes,Board,Medium,Global Health Crisis,"Cooperative, Hand Management",Z-Man Games / 2008,☆☆☆☆☆,FALSE,
Pandemic: Hot Zone,n,,2,4,8+,5 minutes,30 minutes,Board,Medium,Disease Control,"Cooperative, Hand Management",Z-Man Games / 2020,☆☆☆☆☆,FALSE,
Pandemic: Rapid Response,n,,2,4,8+,5 minutes,20 minutes,Board,Medium,Emergency Response,"Real-Time, Dice Rolling",Z-Man Games / 2019,☆☆☆☆☆,FALSE,
Parks,y,,1,5,10+,5–10 minutes,30–60 minutes,Board,Medium,Hiking / Nature,"Set Collection, Worker Placement",Keymaster Games / 2019,☆☆☆☆☆,FALSE,
Pass the Pandas,y,,2,5,6+,1 minute,10–15 minutes,Dice,Low,Animal / Light,"Dice Rolling, Push Your Luck",Ultra PRO / 2019,☆☆☆☆☆,FALSE,
Pass the Pigs,y,,2,2,7+,1 minute,15 minutes,Dice,Low,Humor / Dice Rolling,"Press Your Luck, Dexterity",Winning Moves / 1977,☆☆☆☆☆,FALSE,
Phase 10,n,,2,6,10+,<1 min,45-240 min,Card Game,Low,Contract Rummy,Set Collection,Mattel / 1982,☆☆☆☆☆,FALSE,
Phase 10 Flip,y,,2,6,7+,2 minutes,30–60 minutes,Card,Low,Classic Rummy,"Hand Management, Phase Completion",Mattel / 2021,☆☆☆☆☆,FALSE,
Pizza Party,y,,2,2,6+,1 minute,5–10 minutes,Dice,Low,Food / Kids,"Dice Rolling, Pattern Matching",Haywire Group / 2018,☆☆☆☆☆,FALSE,
Planted,y,,2,5,10+,5 minutes,20–30 minutes,Board,Low,Houseplants / Nature,"Card Drafting, Set Collection",Buffalo Games / 2021,☆☆☆☆☆,FALSE,
Protect the Penguin,y,,2,4,4+,2 minutes,15–20 minutes,Board,Low,Kids / Animal,"Dexterity, Ice Balance",Smart Games / 2018,☆☆☆☆☆,FALSE,
Queen by Midnight,n,,3,6,12+,10 minutes,60–90 minutes,Board,Medium–High,Fantasy / Strategy,"Deck Building, Voting, Secret Agenda",Darrington Press / 2023,☆☆☆☆☆,FALSE,
Qwixx,y,,2,5,8+,1 minute,15–20 minutes,Dice,Low,Numbers / Abstract,"Dice Rolling, Number Placement",Gamewright / 2012,☆☆☆☆☆,FALSE,
Ramen Fury,n,,2,5,8+,1 minute,15–20 minutes,Card,Low,Food / Ramen,"Set Collection, Drafting",Mixlore / 2018,☆☆☆☆☆,FALSE,
Ransom Notes,y,,3,6,15+,2 minutes,30–90 minutes,Card,Low,Wordplay / Humor,"Magnetic Word Assembly, Prompt Response",Very Special Games / 2021,☆☆☆☆☆,FALSE,
Rock Hard: 1977,n,,2,5,16+,10–15 minutes,90 minutes,Board,Medium,Music / 1970s,"Storytelling, Strategy",Devir Games / 2024,☆☆☆☆☆,FALSE,
Rook,y,,2,6,8+,2 minutes,30 minutes,Card,Medium,Classic / Trick-Taking,"Trick Taking, Bidding",Winning Moves / 1906,☆☆☆☆☆,FALSE,
Scooby-Doo! Betrayal at Mystery Mansion,y,6/1/2025,3,5,8+,5 minutes,25–50 minutes,Board,Low–Medium,Cartoon Mystery,"Exploration, Hidden Traitor, Scenario-based",Avalon Hill / 2020,★★★☆☆,FALSE,
Scrabble,y,,2,4,10+,2 minutes,50 minutes,Board,Medium,Word Game,"Tile Placement, Vocabulary",Hasbro / 1938,☆☆☆☆☆,FALSE,
Scram!,n,5/23/2025,2,6,8+,1 minute,20 minutes,Card,Low,Light Strategy,"Hand Management, Set Collection",Grandpa Beck’s Games / 2022,★★★☆☆,FALSE,
Scythe,n,,1,5,14+,15–20 minutes,90–115 minutes,Board,High,Alternate History,"Engine-building, Area Control",Stonemaier / 2016,☆☆☆☆☆,FALSE,
Sea Salt & Paper,y,,2,4,8+,1 minute,30 minutes,Card,Medium,Ocean / Nautical,"Set Collection, Hand Management",Bombyx / 2022,☆☆☆☆☆,FALSE,
Set,y,5/21/2025,1,6,6+,1 minute,20 minutes,Card,Medium,Pattern Recognition,"Real-Time, Pattern Matching",Set Enterprises / 1991,☆☆☆☆☆,FALSE,
Skip-Bo,y,7/4/2025,2,6,7+,<5 min,20-30 min,Card Game,Low,Sequencing,Hand & Stock Pile Play,Mattel/1967,,,
Smile,y,,3,5,8+,2 minutes,20–30 minutes,Card,Medium,Light Strategy,"Bidding, Set Collection",Z-Man Games / 2017,☆☆☆☆☆,FALSE,
Sorry!,y,,2,4,6+,2 minutes,30–45 minutes,Board,Low,Classic / Race,"Roll-and-Move, Take That",Hasbro / 1934,☆☆☆☆☆,FALSE,
Sounds Sus,n,,4,10,10+,2 minutes,30 minutes,Party,Low,Social Deduction,"Hidden Role, Discussion",What Do You Meme? / 2022,☆☆☆☆☆,FALSE,
Space Team,y,,3,6,10+,2 minutes,5 minutes,Card,Low,Sci-Fi / Cooperative,"Real-Time, Shouting, Coordination",Stellar Factory / 2016,☆☆☆☆☆,FALSE,
Splendor,y,,2,4,10+,5 minutes,30 minutes,Card,Medium,Renaissance Trading,"Engine Building, Set Collection",Space Cowboys / 2014,☆☆☆☆☆,FALSE,
Star Realms,y,,2,2,12+,2 minutes,20–30 minutes,Card,Medium,Sci-Fi,"Deck-building, Combat",Wise Wizard / 2014,☆☆☆☆☆,FALSE,
Star Wars: Outer Rim,y,5/20/2025,1,4,14+,10–15 minutes,120–180 minutes,Board,Medium–High,Sci-Fi / Adventure,"Pick-up and Deliver, Modular Board, Variable Player Powers",Fantasy Flight Games / 2019,★★★★★,FALSE,
Star Wars: Rebellion,,,2,4,12+,30 min,180-240 min,Strategy Wargame,High,Sci‑Fi/Star Wars,"Area Control, Asymmetry, Dice/Cards",Fantasy Flight/2016,,,
Starlink,y,,3,6,8+,2 minutes,30 minutes,Party,Low,Drawing / Astronomy,"Drawing, Timed, Guessing",Blue Orange / 2019,☆☆☆☆☆,FALSE,
Sumeria,n,,3,4,10+,5 minutes,30–60 minutes,Board,Medium,Ancient Civilization,Area Control,Reiver Games / 2008,☆☆☆☆☆,FALSE,
T.I.M.E. Stories,,,2,4,12+,10-15 min,90 min,Co-operative / Narrative,Medium,Sci‑Fi/Time Travel,Scenario-based Deck Exploration,Space Cowboys/2015,,,
The Crew,y,,2,5,10+,2 minutes,20 minutes,Card,Medium,Cooperative Space,"Trick Taking, Communication Limits",KOSMOS / 2019,☆☆☆☆☆,FALSE,
The Lord of the Rings Trick Taking Game,y,6/13/2025,2,4,10+,5 min,30-60 min,Card Game,Low,Fantasy Trick‑Taking,Trick Taking,Asmodee / 2023,☆☆☆☆☆,FALSE,
The Mind,y,,2,4,8+,1 minute,20 minutes,Card,Medium,Cooperative Timing,"Simultaneous Play, Hand Management",Nürnberger-Spielkarten-Verlag / 2018,☆☆☆☆☆,FALSE,
The Stormlight Archives (Call to Adventure),,,1,4,13+,5 min,60-90 min,CARD game,Medium,Fantasy/Stormlight,"Dice Drafting, Set Collection",Davinci Games/2020,,,
The Super Fun Family Time Game,y,6/15/2025,2,60,8+,<5 min,15-30 min,Party Game,Low,Family,Prompt/Spinner,DSS Games / 2024,☆☆☆☆☆,FALSE,
There’s Been a Murder,y,,3,8,14+,5 minutes,45–60 minutes,Card,Low,Murder Mystery,"Social Deduction, Cooperative",Pressman / 2021,☆☆☆☆☆,FALSE,
Ticket to Ride,y,,2,5,8+,<5 minutes,30–60 minutes,Board,Medium,Train Travel,"Route Building, Set Collection",Days of Wonder / 2004,☆☆☆☆☆,FALSE,
Timeline: Events,y,,2,8,8+,1 minute,15 minutes,Card,Low,History / Trivia,Chronological Ordering,Asmodee / 2011,☆☆☆☆☆,FALSE,
Timeline: Inventions,y,,2,8,8+,1 minute,15 minutes,Card,Low,History / Trivia,Chronological Ordering,Asmodee / 2010,☆☆☆☆☆,FALSE,
Tiny Epic Galaxies,y,,1,5,14+,5 minutes,30–45 minutes,Board,Medium,Space Exploration,"Dice Rolling, Engine Building",Gamelyn Games / 2015,☆☆☆☆☆,FALSE,
Twosome,y,,2,2,14+,2–5 minutes,15–30 minutes,Card,Low,Relationship,"Conversation, Party",Buffalo Games / 2019,☆☆☆☆☆,FALSE,
Uno Flip,y,,2,10,7+,1 minute,15–30 minutes,Card,Low,Family / Classic,"Hand Management, Flip Mechanic",Mattel / 2019,☆☆☆☆☆,FALSE,
Uno Frozen,y,,2,10,7+,1 minute,15–30 minutes,Card,Low,Disney / Frozen,"Hand Management, Action Cards",Mattel / 2014,☆☆☆☆☆,FALSE,
UNO Jurassic World,y,6/29/2025,2,10,7+,<1 min,20-30 min,Card Game,Low,Jurassic/Party,Match & Play,Mattel / 2022,☆☆☆☆☆,FALSE,
Uno: Mario Kart,y,,2,10,7+,1 minute,15–30 minutes,Card,Low,Mario Kart / Racing,"Hand Management, Action Cards",Mattel / 2020,☆☆☆☆☆,FALSE,
Uno: No Mercy,y,5/22/2025,2,10,7+,<1 min,20-30 min,Card Game,Low,Party,Match & Play,Mattel / 20??,☆☆☆☆☆,FALSE,
Upside Down Challenge,n,,2,6,7+,1 minute,15–30 minutes,Party,Low,Dexterity / Vision Twist,"Dexterity, Silly Challenges",Vango / 2020,☆☆☆☆☆,FALSE,
Upwords,y,,2,4,10+,2 minutes,30–45 minutes,Board,Medium,Word Game,"Tile Placement, Vocabulary",Hasbro / 1983,☆☆☆☆☆,FALSE,
Villainous: Introduction,n,,2,3,10+,5 minutes,40–60 minutes,Board,Medium,Disney Villains,"Asymmetric, Hand Management",Ravensburger / 2023,☆☆☆☆☆,FALSE,
Villainous: Power of the Dark Side,n,,2,3,10+,5 minutes,40–60 minutes,Board,Medium,Star Wars / Strategy,"Asymmetric, Hand Management",Ravensburger / 2022,☆☆☆☆☆,FALSE,
Villainous: Star Wars,n,,2,3,10+,5 minutes,40–60 minutes,Board,Medium,Star Wars,"Asymmetric, Hand Management",Ravensburger / 2022,☆☆☆☆☆,FALSE,
Virus!,y,,2,6,8+,2 minutes,20 minutes,Card,Low,Medical / Humor,"Set Collection, Take That",Tranjis Games / 2015,☆☆☆☆☆,FALSE,
Wavelength,y,,2,12,14+,1 minute,30–45 minutes,Party,Low,Word Guessing,"Social Deduction, Spectrum Judging",Palm Court / 2019,☆☆☆☆☆,FALSE,
Wingspan Asia,n,,1,2,14+,10 minutes,40–70 minutes,Board,Medium,Birds / Nature,"Engine Building, Card Drafting",Stonemaier Games / 2022,☆☆☆☆☆,FALSE,